date,team1,team2,score1,score2,win,lose,pre_win,pre_lose,pre_probability
2019/3/31,WSN,NYM,6,5,WSN,NYM,NYM,WSN,0.525668383
2019/3/31,MIL,STL,5,4,MIL,STL,STL,MIL,0.538802539
2019/3/31,MIN,CLE,9,3,MIN,CLE,CLE,MIN,0.555809704
2019/3/31,KCR,CHW,3,6,CHW,KCR,CHW,KCR,0.532154031
2019/3/31,TEX,CHC,11,10,TEX,CHC,CHC,TEX,0.52799806
2019/3/31,OAK,LAA,2,1,OAK,LAA,LAA,OAK,0.524814561
2019/3/31,LAD,ARI,8,7,LAD,ARI,LAD,ARI,0.508664162
2019/3/31,SDP,SFG,3,1,SDP,SFG,SFG,SDP,0.595266832
2019/3/31,SEA,BOS,10,8,SEA,BOS,BOS,SEA,0.606653919
2019/3/31,PHI,ATL,5,1,PHI,ATL,ATL,PHI,0.542427764
2019/4/1,PIT,STL,5,6,STL,PIT,STL,PIT,0.56553708
2019/4/1,CLE,CHW,5,3,CLE,CHW,CLE,CHW,0.502120142
2019/4/1,NYY,DET,3,1,NYY,DET,NYY,DET,0.546458303
2019/4/1,CIN,MIL,3,4,MIL,CIN,MIL,CIN,0.59719138
2019/4/1,ATL,CHC,8,0,ATL,CHC,CHC,ATL,0.518904398
2019/4/1,TOR,BAL,5,6,BAL,TOR,BAL,TOR,0.504380656
2019/4/1,MIA,NYM,3,7,NYM,MIA,NYM,MIA,0.550169079
2019/4/1,TBR,COL,7,1,TBR,COL,TBR,COL,0.521526035
2019/4/1,TEX,HOU,1,2,HOU,TEX,TEX,HOU,0.527105301
2019/4/1,LAD,SFG,2,4,SFG,LAD,SFG,LAD,0.511666461
2019/4/1,OAK,BOS,7,0,OAK,BOS,BOS,OAK,0.572352778
2019/4/1,SDP,ARI,3,10,ARI,SDP,ARI,SDP,0.57552934
2019/4/1,SEA,LAA,6,3,SEA,LAA,LAA,SEA,0.559997414
2019/4/2,NYY,DET,1,3,DET,NYY,NYY,DET,0.546458303
2019/4/2,CIN,MIL,3,4,MIL,CIN,MIL,CIN,0.59719138
2019/4/2,WSN,PHI,2,8,PHI,WSN,PHI,WSN,0.527551633
2019/4/2,TOR,BAL,1,2,BAL,TOR,BAL,TOR,0.504380656
2019/4/2,MIA,NYM,5,6,NYM,MIA,NYM,MIA,0.550169079
2019/4/2,TBR,COL,4,0,TBR,COL,TBR,COL,0.521526035
2019/4/2,TEX,HOU,6,4,TEX,HOU,TEX,HOU,0.527105301
2019/4/2,KCR,MIN,4,5,MIN,KCR,MIN,KCR,0.537765608
2019/4/2,OAK,BOS,1,0,OAK,BOS,BOS,OAK,0.572352778
2019/4/2,LAD,SFG,6,5,LAD,SFG,SFG,LAD,0.511666461
2019/4/2,SDP,ARI,5,8,ARI,SDP,ARI,SDP,0.57552934
2019/4/2,SEA,LAA,2,1,SEA,LAA,LAA,SEA,0.559997414
2019/4/3,CIN,MIL,0,1,MIL,CIN,MIL,CIN,0.59719138
2019/4/3,WSN,PHI,9,8,WSN,PHI,PHI,WSN,0.527551633
2019/4/3,CLE,CHW,3,8,CHW,CLE,CLE,CHW,0.502120142
2019/4/3,TBR,COL,0,1,COL,TBR,TBR,COL,0.521526035
2019/4/3,KCR,MIN,6,7,MIN,KCR,MIN,KCR,0.537765608
2019/4/3,SDP,ARI,4,1,SDP,ARI,ARI,SDP,0.57552934
2019/4/3,NYY,DET,1,2,DET,NYY,NYY,DET,0.546458303
2019/4/3,TOR,BAL,5,3,TOR,BAL,BAL,TOR,0.504380656
2019/4/3,MIA,NYM,4,6,NYM,MIA,NYM,MIA,0.550169079
2019/4/3,ATL,CHC,6,4,ATL,CHC,CHC,ATL,0.518904398
2019/4/3,PIT,STL,4,5,STL,PIT,STL,PIT,0.56553708
2019/4/3,TEX,HOU,4,0,TEX,HOU,TEX,HOU,0.527105301
2019/4/3,OAK,BOS,3,6,BOS,OAK,BOS,OAK,0.572352778
2019/4/3,LAD,SFG,5,3,LAD,SFG,SFG,LAD,0.511666461
2019/4/4,DET,KCR,5,4,DET,KCR,DET,KCR,0.502847345
2019/4/4,NYM,WSN,0,4,WSN,NYM,WSN,NYM,0.557653344
2019/4/4,BAL,NYY,4,8,NYY,BAL,NYY,BAL,0.616724799
2019/4/4,OAK,BOS,7,3,OAK,BOS,BOS,OAK,0.572352778
2019/4/4,CLE,TOR,4,1,CLE,TOR,TOR,CLE,0.538015672
2019/4/4,PIT,CIN,2,0,PIT,CIN,CIN,PIT,0.52421429
2019/4/4,ATL,CHC,9,4,ATL,CHC,CHC,ATL,0.518904398
2019/4/4,LAA,TEX,4,11,TEX,LAA,LAA,TEX,0.503996416
2019/4/5,CHW,SEA,10,8,CHW,SEA,SEA,CHW,0.537999234
2019/4/5,COL,LAD,6,10,LAD,COL,LAD,COL,0.620087202
2019/4/5,STL,SDP,3,5,SDP,STL,STL,SDP,0.541527113
2019/4/5,SFG,TBR,2,5,TBR,SFG,TBR,SFG,0.603532892
2019/4/5,PHI,MIN,10,4,PHI,MIN,MIN,PHI,0.505625832
2019/4/5,PIT,CIN,2,0,PIT,CIN,CIN,PIT,0.52421429
2019/4/5,ARI,BOS,15,8,ARI,BOS,BOS,ARI,0.61248773
2019/4/5,CLE,TOR,3,2,CLE,TOR,TOR,CLE,0.538015672
2019/4/5,ATL,MIA,4,0,ATL,MIA,ATL,MIA,0.527046072
2019/4/5,HOU,OAK,3,2,HOU,OAK,OAK,HOU,0.57385927
2019/4/5,MIL,CHC,13,10,MIL,CHC,CHC,MIL,0.519553727
2019/4/5,LAA,TEX,3,1,LAA,TEX,LAA,TEX,0.503996416
2019/4/6,DET,KCR,7,4,DET,KCR,DET,KCR,0.502847345
2019/4/6,NYM,WSN,6,5,NYM,WSN,WSN,NYM,0.557653344
2019/4/6,PIT,CIN,6,5,PIT,CIN,CIN,PIT,0.52421429
2019/4/6,PHI,MIN,2,6,MIN,PHI,MIN,PHI,0.505625832
2019/4/6,CHW,SEA,2,9,SEA,CHW,SEA,CHW,0.537999234
2019/4/6,STL,SDP,4,6,SDP,STL,STL,SDP,0.541527113
2019/4/6,LAA,TEX,5,1,LAA,TEX,LAA,TEX,0.503996416
2019/4/6,SFG,TBR,6,4,SFG,TBR,TBR,SFG,0.603532892
2019/4/6,CLE,TOR,7,2,CLE,TOR,TOR,CLE,0.538015672
2019/4/6,BAL,NYY,4,6,NYY,BAL,NYY,BAL,0.616724799
2019/4/6,HOU,OAK,6,0,HOU,OAK,OAK,HOU,0.57385927
2019/4/6,MIL,CHC,8,14,CHC,MIL,CHC,MIL,0.519553727
2019/4/6,ATL,MIA,2,4,MIA,ATL,ATL,MIA,0.527046072
2019/4/6,ARI,BOS,5,4,ARI,BOS,BOS,ARI,0.61248773
2019/4/6,COL,LAD,2,7,LAD,COL,LAD,COL,0.620087202
2019/4/7,BAL,NYY,3,15,NYY,BAL,NYY,BAL,0.616724799
2019/4/7,PHI,MIN,2,1,PHI,MIN,MIN,PHI,0.505625832
2019/4/7,CLE,TOR,3,1,CLE,TOR,TOR,CLE,0.538015672
2019/4/7,DET,KCR,3,1,DET,KCR,DET,KCR,0.502847345
2019/4/7,NYM,WSN,9,12,WSN,NYM,WSN,NYM,0.557653344
2019/4/7,ATL,MIA,4,3,ATL,MIA,ATL,MIA,0.527046072
2019/4/7,PIT,CIN,7,5,PIT,CIN,CIN,PIT,0.52421429
2019/4/7,CHW,SEA,5,12,SEA,CHW,SEA,CHW,0.537999234
2019/4/7,HOU,OAK,9,8,HOU,OAK,OAK,HOU,0.57385927
2019/4/7,MIL,CHC,4,2,MIL,CHC,CHC,MIL,0.519553727
2019/4/7,STL,SDP,4,1,STL,SDP,STL,SDP,0.541527113
2019/4/7,SFG,TBR,0,3,TBR,SFG,TBR,SFG,0.603532892
2019/4/7,LAA,TEX,7,2,LAA,TEX,LAA,TEX,0.503996416
2019/4/7,ARI,BOS,0,1,BOS,ARI,BOS,ARI,0.61248773
2019/4/7,COL,LAD,6,12,LAD,COL,LAD,COL,0.620087202
2019/4/8,CHW,TBR,1,5,TBR,CHW,TBR,CHW,0.615307657
2019/4/8,CHC,PIT,10,0,CHC,PIT,CHC,PIT,0.505866807
2019/4/8,HOU,NYY,4,3,HOU,NYY,NYY,HOU,0.618725949
2019/4/8,BAL,OAK,12,4,BAL,OAK,OAK,BAL,0.571785611
2019/4/8,PHI,WSN,4,3,PHI,WSN,WSN,PHI,0.538921614
2019/4/8,STL,LAD,4,3,STL,LAD,LAD,STL,0.530296635
2019/4/8,KCR,SEA,5,13,SEA,KCR,SEA,KCR,0.526945694
2019/4/8,COL,ATL,6,8,ATL,COL,ATL,COL,0.596228711
2019/4/8,SFG,SDP,5,6,SDP,SFG,SDP,SFG,0.526528637
2019/4/8,LAA,MIL,5,2,LAA,MIL,LAA,MIL,0.501377621
2019/4/9,DET,CLE,2,8,CLE,DET,CLE,DET,0.529113136
2019/4/9,BOS,TOR,5,7,TOR,BOS,TOR,BOS,0.516570704
2019/4/9,CHW,TBR,5,10,TBR,CHW,TBR,CHW,0.615307657
2019/4/9,CIN,MIA,14,0,CIN,MIA,MIA,CIN,0.521387566
2019/4/9,BAL,OAK,2,13,OAK,BAL,OAK,BAL,0.571785611
2019/4/9,PHI,WSN,6,10,WSN,PHI,WSN,PHI,0.538921614
2019/4/9,NYM,MIN,8,14,MIN,NYM,MIN,NYM,0.524516789
2019/4/9,STL,LAD,4,0,STL,LAD,LAD,STL,0.530296635
2019/4/9,HOU,NYY,6,3,HOU,NYY,NYY,HOU,0.618725949
2019/4/9,KCR,SEA,3,6,SEA,KCR,SEA,KCR,0.526945694
2019/4/9,COL,ATL,1,7,ATL,COL,ATL,COL,0.596228711
2019/4/9,ARI,TEX,5,4,ARI,TEX,TEX,ARI,0.586029494
2019/4/9,SFG,SDP,7,2,SFG,SDP,SDP,SFG,0.526528637
2019/4/9,LAA,MIL,11,8,LAA,MIL,LAA,MIL,0.501377621
2019/4/10,DET,CLE,4,1,DET,CLE,CLE,DET,0.529113136
2019/4/10,CHW,TBR,1,9,TBR,CHW,TBR,CHW,0.615307657
2019/4/10,SFG,SDP,1,3,SDP,SFG,SDP,SFG,0.526528637
2019/4/10,CIN,MIA,2,1,CIN,MIA,MIA,CIN,0.521387566
2019/4/10,BAL,OAK,3,10,OAK,BAL,OAK,BAL,0.571785611
2019/4/10,PHI,WSN,1,15,WSN,PHI,WSN,PHI,0.538921614
2019/4/10,NYM,MIN,9,6,NYM,MIN,MIN,NYM,0.524516789
2019/4/10,HOU,NYY,8,6,HOU,NYY,NYY,HOU,0.618725949
2019/4/10,STL,LAD,7,2,STL,LAD,LAD,STL,0.530296635
2019/4/10,CHC,PIT,2,5,PIT,CHC,CHC,PIT,0.505866807
2019/4/10,KCR,SEA,5,6,SEA,KCR,SEA,KCR,0.526945694
2019/4/10,ARI,TEX,2,5,TEX,ARI,TEX,ARI,0.586029494
2019/4/10,LAA,MIL,4,2,LAA,MIL,LAA,MIL,0.501377621
2019/4/11,BAL,OAK,5,8,OAK,BAL,OAK,BAL,0.571785611
2019/4/11,CIN,MIA,5,0,CIN,MIA,MIA,CIN,0.521387566
2019/4/11,DET,CLE,0,4,CLE,DET,CLE,DET,0.529113136
2019/4/11,KCR,SEA,6,7,SEA,KCR,SEA,KCR,0.526945694
2019/4/11,STL,LAD,11,7,STL,LAD,LAD,STL,0.530296635
2019/4/11,BOS,TOR,7,6,BOS,TOR,TOR,BOS,0.516570704
2019/4/11,ATL,NYM,3,6,NYM,ATL,NYM,ATL,0.505163998
2019/4/11,CHC,PIT,2,0,CHC,PIT,CHC,PIT,0.505866807
2019/4/11,ARI,SDP,6,7,SDP,ARI,SDP,ARI,0.527388641
2019/4/11,SFG,COL,1,0,SFG,COL,COL,SFG,0.536210135
2019/4/12,CHC,LAA,5,1,CHC,LAA,LAA,CHC,0.531312198
2019/4/12,NYY,CHW,6,9,CHW,NYY,NYY,CHW,0.560357378
2019/4/12,WSN,PIT,3,6,PIT,WSN,PIT,WSN,0.510179328
2019/4/12,TOR,TBR,7,11,TBR,TOR,TBR,TOR,0.581753766
2019/4/12,BOS,BAL,6,4,BOS,BAL,BOS,BAL,0.527597615
2019/4/12,MIA,PHI,1,9,PHI,MIA,PHI,MIA,0.552037949
2019/4/12,ATL,NYM,2,6,NYM,ATL,NYM,ATL,0.505163998
2019/4/12,TEX,OAK,6,8,OAK,TEX,OAK,TEX,0.559316798
2019/4/12,KCR,CLE,8,1,KCR,CLE,CLE,KCR,0.561621346
2019/4/12,ARI,SDP,1,2,SDP,ARI,SDP,ARI,0.527388641
2019/4/12,LAD,MIL,5,8,MIL,LAD,MIL,LAD,0.553402903
2019/4/12,SEA,HOU,6,10,HOU,SEA,SEA,HOU,0.502832197
2019/4/12,SFG,COL,3,2,SFG,COL,COL,SFG,0.536210135
2019/4/13,BOS,BAL,5,9,BAL,BOS,BOS,BAL,0.527597615
2019/4/13,NYY,CHW,4,0,NYY,CHW,NYY,CHW,0.560357378
2019/4/13,MIN,DET,4,3,MIN,DET,DET,MIN,0.540278466
2019/4/13,CHC,LAA,5,6,LAA,CHC,LAA,CHC,0.531312198
2019/4/13,TOR,TBR,3,1,TOR,TBR,TBR,TOR,0.581753766
2019/4/13,SFG,COL,5,2,SFG,COL,COL,SFG,0.536210135
2019/4/13,WSN,PIT,3,2,WSN,PIT,PIT,WSN,0.510179328
2019/4/13,MIA,PHI,10,3,MIA,PHI,PHI,MIA,0.552037949
2019/4/13,CIN,STL,5,2,CIN,STL,STL,CIN,0.585844817
2019/4/13,KCR,CLE,3,0,KCR,CLE,CLE,KCR,0.561621346
2019/4/13,ATL,NYM,11,7,ATL,NYM,NYM,ATL,0.505163998
2019/4/13,ARI,SDP,4,5,SDP,ARI,SDP,ARI,0.527388641
2019/4/13,LAD,MIL,1,4,MIL,LAD,MIL,LAD,0.553402903
2019/4/13,SEA,HOU,1,3,HOU,SEA,SEA,HOU,0.502832197
2019/4/14,BOS,BAL,4,0,BOS,BAL,BOS,BAL,0.527597615
2019/4/14,NYY,CHW,2,5,CHW,NYY,NYY,CHW,0.560357378
2019/4/14,TOR,TBR,4,8,TBR,TOR,TBR,TOR,0.581753766
2019/4/14,MIA,PHI,1,3,PHI,MIA,PHI,MIA,0.552037949
2019/4/14,WSN,PIT,3,4,PIT,WSN,PIT,WSN,0.510179328
2019/4/14,MIN,DET,6,4,MIN,DET,DET,MIN,0.540278466
2019/4/14,KCR,CLE,9,8,KCR,CLE,CLE,KCR,0.561621346
2019/4/14,TEX,OAK,8,7,TEX,OAK,OAK,TEX,0.559316798
2019/4/14,CIN,STL,5,9,STL,CIN,STL,CIN,0.585844817
2019/4/14,SFG,COL,0,4,COL,SFG,COL,SFG,0.536210135
2019/4/14,ARI,SDP,8,4,ARI,SDP,SDP,ARI,0.527388641
2019/4/14,LAD,MIL,7,1,LAD,MIL,MIL,LAD,0.553402903
2019/4/14,SEA,HOU,2,3,HOU,SEA,SEA,HOU,0.502832197
2019/4/14,ATL,NYM,7,3,ATL,NYM,NYM,ATL,0.505163998
2019/4/15,BOS,BAL,1,8,BAL,BOS,BOS,BAL,0.527597615
2019/4/15,PHI,NYM,6,7,NYM,PHI,NYM,PHI,0.51289597
2019/4/15,MIA,CHC,2,7,CHC,MIA,CHC,MIA,0.563739026
2019/4/15,MIL,STL,10,7,MIL,STL,STL,MIL,0.538802539
2019/4/15,MIN,TOR,3,5,TOR,MIN,TOR,MIN,0.566125214
2019/4/15,TEX,LAA,12,7,TEX,LAA,LAA,TEX,0.535926199
2019/4/15,CHW,KCR,5,4,CHW,KCR,KCR,CHW,0.540951606
2019/4/15,LAD,CIN,4,3,LAD,CIN,CIN,LAD,0.500183832
2019/4/15,SDP,COL,2,5,COL,SDP,COL,SDP,0.585169276
2019/4/15,SEA,CLE,4,6,CLE,SEA,CLE,SEA,0.555177945
2019/4/16,NYY,BOS,8,0,NYY,BOS,BOS,NYY,0.521983981
2019/4/16,DET,PIT,3,5,PIT,DET,DET,PIT,0.503189857
2019/4/16,PHI,NYM,14,3,PHI,NYM,NYM,PHI,0.51289597
2019/4/16,WSN,SFG,3,7,SFG,WSN,SFG,WSN,0.528527876
2019/4/16,MIA,CHC,0,4,CHC,MIA,CHC,MIA,0.563739026
2019/4/16,TBR,BAL,4,2,TBR,BAL,TBR,BAL,0.530835408
2019/4/16,ATL,ARI,6,9,ARI,ATL,ATL,ARI,0.512299021
2019/4/16,MIL,STL,8,4,MIL,STL,STL,MIL,0.538802539
2019/4/16,MIN,TOR,5,6,TOR,MIN,TOR,MIN,0.566125214
2019/4/16,TEX,LAA,5,0,TEX,LAA,LAA,TEX,0.535926199
2019/4/16,CHW,KCR,5,1,CHW,KCR,KCR,CHW,0.540951606
2019/4/16,SDP,COL,2,8,COL,SDP,COL,SDP,0.585169276
2019/4/16,OAK,HOU,1,9,HOU,OAK,OAK,HOU,0.538210506
2019/4/16,LAD,CIN,6,1,LAD,CIN,CIN,LAD,0.500183832
2019/4/16,SEA,CLE,2,4,CLE,SEA,CLE,SEA,0.555177945
2019/4/17,PHI,NYM,3,2,PHI,NYM,NYM,PHI,0.51289597
2019/4/17,MIL,STL,3,6,STL,MIL,STL,MIL,0.538802539
2019/4/17,CHW,KCR,3,4,KCR,CHW,KCR,CHW,0.540951606
2019/4/17,LAD,CIN,3,2,LAD,CIN,CIN,LAD,0.500183832
2019/4/17,NYY,BOS,5,3,NYY,BOS,BOS,NYY,0.521983981
2019/4/17,DET,PIT,2,3,PIT,DET,DET,PIT,0.503189857
2019/4/17,SEA,CLE,0,1,CLE,SEA,CLE,SEA,0.555177945
2019/4/17,WSN,SFG,9,6,WSN,SFG,SFG,WSN,0.528527876
2019/4/17,MIA,CHC,0,6,CHC,MIA,CHC,MIA,0.563739026
2019/4/17,TBR,BAL,8,1,TBR,BAL,TBR,BAL,0.530835408
2019/4/17,ATL,ARI,2,3,ARI,ATL,ATL,ARI,0.512299021
2019/4/17,MIN,TOR,4,1,MIN,TOR,TOR,MIN,0.566125214
2019/4/17,TEX,LAA,5,4,TEX,LAA,LAA,TEX,0.535926199
2019/4/17,OAK,HOU,2,1,OAK,HOU,OAK,HOU,0.538210506
2019/4/18,ATL,ARI,1,4,ARI,ATL,ATL,ARI,0.512299021
2019/4/18,WSN,SFG,4,2,WSN,SFG,SFG,WSN,0.528527876
2019/4/18,DET,CHW,9,7,DET,CHW,DET,CHW,0.500591634
2019/4/18,MIN,TOR,4,7,TOR,MIN,TOR,MIN,0.566125214
2019/4/18,NYY,KCR,1,6,KCR,NYY,NYY,KCR,0.562579023
2019/4/18,TBR,BAL,5,6,BAL,TBR,TBR,BAL,0.530835408
2019/4/18,MIL,LAD,1,3,LAD,MIL,LAD,MIL,0.560188068
2019/4/18,COL,PHI,6,2,COL,PHI,PHI,COL,0.569253305
2019/4/18,LAA,SEA,10,11,SEA,LAA,LAA,SEA,0.563970438
2019/4/18,SDP,CIN,1,4,CIN,SDP,CIN,SDP,0.584152329
2019/4/19,CHC,ARI,5,1,CHC,ARI,CHC,ARI,0.507821888
2019/4/19,NYY,KCR,6,2,NYY,KCR,NYY,KCR,0.562579023
2019/4/19,PIT,SFG,4,1,PIT,SFG,SFG,PIT,0.53565736
2019/4/19,DET,CHW,3,7,CHW,DET,DET,CHW,0.500591634
2019/4/19,MIA,WSN,3,2,MIA,WSN,WSN,MIA,0.575850138
2019/4/19,TBR,BOS,4,6,BOS,TBR,BOS,TBR,0.555539716
2019/4/19,TEX,HOU,2,7,HOU,TEX,TEX,HOU,0.527105301
2019/4/19,MIL,LAD,3,5,LAD,MIL,LAD,MIL,0.560188068
2019/4/19,STL,NYM,4,5,NYM,STL,STL,NYM,0.524313879
2019/4/19,COL,PHI,4,3,COL,PHI,PHI,COL,0.569253305
2019/4/19,LAA,SEA,3,5,SEA,LAA,LAA,SEA,0.563970438
2019/4/19,OAK,TOR,1,5,TOR,OAK,TOR,OAK,0.530384775
2019/4/19,SDP,CIN,2,3,CIN,SDP,CIN,SDP,0.584152329
2019/4/20,NYY,KCR,9,2,NYY,KCR,NYY,KCR,0.562579023
2019/4/20,STL,NYM,10,2,STL,NYM,STL,NYM,0.524313879
2019/4/20,CHC,ARI,0,6,ARI,CHC,CHC,ARI,0.507821888
2019/4/20,BAL,MIN,5,6,MIN,BAL,MIN,BAL,0.519682797
2019/4/20,PIT,SFG,3,1,PIT,SFG,SFG,PIT,0.53565736
2019/4/20,OAK,TOR,1,10,TOR,OAK,TOR,OAK,0.530384775
2019/4/20,CLE,ATL,8,4,CLE,ATL,ATL,CLE,0.540335182
2019/4/20,MIA,WSN,9,3,MIA,WSN,WSN,MIA,0.575850138
2019/4/20,TBR,BOS,5,6,BOS,TBR,BOS,TBR,0.555539716
2019/4/20,MIL,LAD,5,0,MIL,LAD,LAD,MIL,0.560188068
2019/4/20,CLE,ATL,7,8,ATL,CLE,ATL,CLE,0.540335182
2019/4/20,BAL,MIN,7,16,MIN,BAL,MIN,BAL,0.519682797
2019/4/20,TEX,HOU,9,4,TEX,HOU,TEX,HOU,0.527105301
2019/4/20,COL,PHI,5,8,PHI,COL,PHI,COL,0.569253305
2019/4/20,SDP,CIN,2,4,CIN,SDP,CIN,SDP,0.584152329
2019/4/20,LAA,SEA,5,6,SEA,LAA,LAA,SEA,0.563970438
2019/4/21,BAL,MIN,3,4,MIN,BAL,MIN,BAL,0.519682797
2019/4/21,NYY,KCR,7,6,NYY,KCR,NYY,KCR,0.562579023
2019/4/21,DET,CHW,4,3,DET,CHW,DET,CHW,0.500591634
2019/4/21,MIA,WSN,0,5,WSN,MIA,WSN,MIA,0.575850138
2019/4/21,PIT,SFG,2,3,SFG,PIT,SFG,PIT,0.53565736
2019/4/21,MIL,LAD,5,6,LAD,MIL,LAD,MIL,0.560188068
2019/4/21,TBR,BOS,3,4,BOS,TBR,BOS,TBR,0.555539716
2019/4/21,STL,NYM,6,4,STL,NYM,STL,NYM,0.524313879
2019/4/21,CHC,ARI,2,1,CHC,ARI,CHC,ARI,0.507821888
2019/4/21,TEX,HOU,11,10,TEX,HOU,TEX,HOU,0.527105301
2019/4/21,COL,PHI,4,1,COL,PHI,PHI,COL,0.569253305
2019/4/21,LAA,SEA,8,6,LAA,SEA,LAA,SEA,0.563970438
2019/4/21,OAK,TOR,4,5,TOR,OAK,TOR,OAK,0.530384775
2019/4/21,SDP,CIN,4,3,SDP,CIN,CIN,SDP,0.584152329
2019/4/21,CLE,ATL,5,11,ATL,CLE,ATL,CLE,0.540335182
2019/4/22,NYM,PHI,5,1,NYM,PHI,PHI,NYM,0.533646902
2019/4/22,BAL,CHW,2,12,CHW,BAL,CHW,BAL,0.514050068
2019/4/22,PIT,ARI,4,12,ARI,PIT,ARI,PIT,0.515379533
2019/4/22,TBR,KCR,6,3,TBR,KCR,TBR,KCR,0.529104262
2019/4/22,STL,MIL,13,5,STL,MIL,MIL,STL,0.520462209
2019/4/22,HOU,MIN,5,9,MIN,HOU,MIN,HOU,0.521797751
2019/4/22,COL,WSN,7,5,COL,WSN,WSN,COL,0.592825355
2019/4/22,LAA,NYY,3,4,NYY,LAA,NYY,LAA,0.545639936
2019/4/22,OAK,TEX,6,1,OAK,TEX,TEX,OAK,0.545189087
2019/4/23,BOS,DET,4,7,DET,BOS,BOS,DET,0.509570946
2019/4/23,CLE,MIA,1,3,MIA,CLE,CLE,MIA,0.521431726
2019/4/23,CIN,ATL,7,6,CIN,ATL,ATL,CIN,0.582507151
2019/4/23,BAL,CHW,9,1,BAL,CHW,CHW,BAL,0.514050068
2019/4/23,PIT,ARI,1,2,ARI,PIT,ARI,PIT,0.515379533
2019/4/23,TOR,SFG,6,7,SFG,TOR,SFG,TOR,0.524135021
2019/4/23,BOS,DET,2,4,DET,BOS,BOS,DET,0.509570946
2019/4/23,NYM,PHI,9,0,NYM,PHI,PHI,NYM,0.533646902
2019/4/23,TBR,KCR,5,2,TBR,KCR,TBR,KCR,0.529104262
2019/4/23,STL,MIL,4,3,STL,MIL,MIL,STL,0.520462209
2019/4/23,CHC,LAD,7,2,CHC,LAD,LAD,CHC,0.563957726
